大分類,中分類,小分類,細分類,該当例
,,,,クロレラ培養工
,,,,鷄ふん肥料製造工
,,,,化粧筆製造工
,,,,原皮塩蔵工
,,,,原皮製造工
,,,,航装(パラシュート)製造工
,,,,氷製造工
,,,,碁盤・将棋盤目盛工
,,,,ごま豆腐製造工
,,,,ゴム印組立工
,,,,ゴム印彫刻工
,,,,コンパス組立工(文房具)
,,,,サインポール(理髪店円柱形看板)製造工
,,,,山菜加工工
,,,,獣皮剥工
,,,,賞杯製造工(錫・アンチモニー製)
,,,,食肉処理場作業員
,,,,食肉処理場整理員
,,,,神符奉製工
,,,,水晶印判師
,,,,スタンプ製造工
,,,,製氷機運転工
,,,,製氷工
,,,,製氷作業員
,,,,絶縁テープ製造工(布製)
,,,,ゼラチン製造工(食料品製造)
,,,,セロハンテープ製造工
,,,,せんす製作工
,,,,染料工(い草・わら染め)
,,,,染料工(羽毛染め)
,,,,算盤製造工
,,,,打栓工(食料品製造)
,,,,たも網製造工
,,,,樽詰工(飲食料品製造)
,,,,注射器組立工
,,,,提燈修理工
,,,,ちょうちん製造工
,,,,陳皮製造工
,,,,杖製造工
,,,,釣竿製造工(炭素繊維製)
,,,,釣燈職
,,,,テグス製造工(天然天蚕糸)
,,,,篆(てん)刻師
,,,,刀剣さや師
,,,,桐油工
,,,,と(屠)畜作業員
,,,,と畜作業員
,,,,内臓処理工(肉解体)
,,,,なめみそ製造工
,,,,肉解体作業員(と畜場)
,,,,パイプ組立工(喫煙具)
,,,,はたき製造工
,,,,バナナ熟成加工作業者
,,,,羽根細工工
,,,,ハンガー製造工
,,,,絆創膏製造工(布製)
,,,,ひまし油製造工
,,,,氷室作業員(製氷)
,,,,ファスナー製造工
,,,,フェザーミール製造工
,,,,ブリッスル(ブラシ用毛材)加工工
,,,,ヘイキューブ製造工
,,,,ヘルメット組立工
,,,,防塵眼鏡製造工
,,,,ポスターパネル貼り合わせ工
,,,,ぼんぼり製作工
,,,,マスク製造工(防毒面)
,,,,マッチ製造工
,,,,魔法瓶製造工
,,,,木灰製造工
,,,,木判工
,,,,モビール製造工(装飾置物)
,,,,もみがら燻炭製造人
,,,,結納品製造人
,,,,有機肥料製造工(鶏ふん・魚肥・たい肥・大豆かすなど)
,,,,洋がさ修理工
,,,,洋がさ製造工
,,,,羊腸縫合糸製造工
,,,,ライター組立工
,,,,離乳食製造工
,,,,冷菓製造工
,,,,練炭製造工
,,,,和傘製作工
,機械組立の職業,一般機械器具組立工,原動機組立工,エンジン組立・調整工
,,,,オルタネータ製造工
,,,,航空機エンジン組立工
,,,,自動車エンジン組立工
,,,,自動車エンジン調整工
,,,,船用機関組立工
,,,,タービン組立工
,,,,ディーゼルエンジン組立工
,,,,内燃機械組立工
,,,,内燃機関組立仕上工
,,,,舶用機関組立・調整工
,,,,汎用内燃機関組立・調整工
,,,金属加工機械組立工,圧延機械組立工
,,,,圧延機組立・調整工
,,,,金属工作機械組立工
,,,,金属工作機械組立・調整工
,,,,グラインディングミル組立工
,,,,研磨盤組立・調整工
,,,,旋盤組立工
,,,,旋盤組立・調整工
,,,,鍛造機械組立工
,,,,ドリルユニット組立工
,,,,フライス盤組立工
,,,,フライス盤組立・調整工
,,,,プレス機械組立工
,,,,プレス機組立・調整工
,,,,放電加工機組立・調整工
,,,,ボール盤組立・調整工
,,,,マシニングセンター組立・調整工
,,,,溶接機組立・調整工
,,,農業用機械組立工,カルチベータ(中耕除草機)組立工
,,,,耕うん機組立工
,,,,コンバイン組立工
,,,,田植機組立工
,,,,脱穀機組立工
,,,,農機器組立工
,,,,農業機械整備工
,,,,農業用機械組立・調整工
,,,,農業用トラクター組立工
,,,建設機械組立工,起重機仕上組立工
,,,,クレーン組立工
,,,,建設機械組立・調整工
,,,,建設用クレーン組立工
,,,,コールピックハンマー仕上組立工
,,,,削岩機組立工
,,,,ショベルカー組立工
,,,,スクレーパー組立工(建設機械)
,,,,タイヤドーザー組立工
,,,,パワーショベル組立工
,,,,フィニッシャー製造工
,,,,ブルドーザー組立工
,,,,ロードローラ組立工
,,,印刷・製本機械組立工,印刷機械組立工
,,,,印刷機械組立・調整工
,,,,オフセット印刷機組立工
,,,,スクリーン印刷機組立工
,,,,製本機械組立工
,,,,プリンター組立工
,,,半導体・液晶パネル製造装置組立工,ウェハー切断機組立工
,,,,液晶パネル基板貼合機組立工
,,,,液晶パネル製造装置組立工
,,,,半導体製造装置組立工
,,,,半導体洗浄装置組立工
,,,業務用冷凍・冷蔵・空調機器組立工,エアコン組立工(業務用)
,,,,エアコン据付工(業務用)
,,,,業務用空調機器組立工
,,,,業務用冷蔵機器組立工
,,,,業務用冷凍機器組立工
,,,,空気調和装置組立工
,,,,空気調和装置据付工
,,,,空調設備据付工
,,,,製氷機組立工
,,,,冷蔵装置組立工
,,,,冷凍機組立工
,,,,冷凍装置製造工
,,,サービス用・娯楽機械組立工,娯楽機械組立工
,,,,サービス用機械組立工
,,,,自動改札機組立工
,,,,自動供給装置組立工
,,,,自動サービス機械器具組立工
,,,,自動車洗浄機組立工
,,,,自動販売機組立工
,,,,自動販売機取付工
,,,,ドライクリーニング機組立工
,,,,遊技機械組立工
,,,機械部品組立工,アブソーバ製造工
,,,,オイルフィルター組立工(産業用機械)
,,,,機械部品仕上工
,,,,キャタピラー組立工
,,,,キャブレター組立工(産業用機械)
,,,,クラッチ組立工(産業用機械)
,,,,クランクシャフト取付工(産業用機械)
,,,,原動機部品組立工
,,,,軸受組立工
,,,,軸継手組立工
,,,,自動調整バルブ組立工
,,,,ショックアブソーバ組立工
,,,,スピードガバナ(調速器)組立工(産業用機械)
,,,,ターンテーブル組立工(機械部品)
,,,,チェーン組立工
,,,,電動鎖組立工
,,,,動力伝導装置組立工(産業用機械)
,,,,トランスミッション組立工(産業用機械)
,,,,ニードル工(ベアリング製造)
,,,,熱交換器製造工(産業用機械)
,,,,燃料供給装置組立工(産業用機械)
,,,,バイブレーター組立工(建設機械製造)
,,,,バルブ組立工
,,,,バルブコック組立工
,,,,バルブ仕上工
,,,,バルブロッカーアーム組立工
,,,,ピロブロック組立工
,,,,ファンドライブ組立工(産業用機械)
,,,,プラネタリー変速装置組立工(産業用機械)
,,,,ブレーキライニング組立工
,,,,ベアリング組立工
,,,,変速機組立工(産業用機械)
,,,,放熱器組立工
,,,,油圧バルブ製造工
,,,,ラジエータ組立工(産業用機械)
,,,,冷却サイクル組立工(産業用機械)
,,,,ワイパー組立工(産業用機械)
,,,他に分類されない一般機械器具組立工,アッシュプラント製造工
,,,,編機組立工
,,,,医療機器組立工
,,,,ウィンチ組立工
,,,,運搬機械組立工
,,,,エアーシューター取付工
,,,,エアーポンプ組立工
,,,,エスカレーター組付工
,,,,LNG(液化天然ガス)装置組立工
,,,,エレベーター据付工
,,,,エレベーター組立工
,,,,オートヒーター組立工
,,,,回転圧縮機組立工
,,,,化学機械組立工
,,,,乾燥炉製造工
,,,,機械調整工(組み立てに伴う調整を行うもの)
,,,,機械とび(重量機械据付)
,,,,金属材料試験機組立工
,,,,空気圧縮機組立工
,,,,計器組付工(一般機械)
,,,,高周波ミシン組立工
,,,,コンプレッサー組立工
,,,,産業用ロボット組立工
,,,,事務用機械組立工
,,,,ジャカード機製造工
,,,,重油燃焼装置組立工
,,,,昇降機取付工
,,,,食品充填機組立工
,,,,織機組立工
,,,,浸染機械組立工
,,,,針布機据付工
,,,,製菓機組立工
,,,,製材機械組立工
,,,,精米機組立工
,,,,繊維機械組立工
,,,,繊維機械組立・調整工
,,,,染色機械組立工
,,,,煎餅加工機工
,,,,タイタンパー組立工
,,,,ダムウェーター組立工
,,,,鋳造装置組立工
,,,,チルドロール製造工
,,,,ディハイドレーター(食品乾燥機)組立工
,,,,電装工(一般機械)
,,,,電動工具組立工
,,,,動力ポンプ組立工
,,,,ドビー織機製造工
,,,,パルプ製造装置組立工
,,,,パン焼窯組立工
,,,,部品供給装置組立工
,,,,プラスチック加工機組立・調整工
,,,,プラント据付工(機械設備)
,,,,ブリケッティングマシン(造粒機)組立工
,,,,噴射ポンプ組付工
,,,,噴霧機組立工
,,,,ベーンポンプ組立工
,,,,ベルトコンベア製造工
,,,,ホイスト製造工
,,,,紡績機械組立工
,,,,包装機械組立工
,,,,ホッパーフィーダー(自動供給装置)組立工
,,,,ポンプ組立工
,,,,巻揚機組立工
,,,,巻上装置取付工
,,,,丸鋸組立工
,,,,ミシン組立工
,,,,木工機械組立工
,,,,木工旋盤組立工
,,,,油圧機器組立工
,,,,溶解炉組立工
,,,,揚水ポンプ組立仕上工
,,,,理化学機械組立工
,,,,リフト組立工
,,,,ロール組立工(製鉄、製鋼)
,,,,ワイヤーフォーミングマシン(線材加工機)製造工
,,電気機械組立工,発電機・電動機組立工,コア積工(電動機製造)
,,,,コイル整形工(電動機製造)
,,,,コイル絶縁工(発電機・電動機製造)
,,,,コイル巻線工(電動機)
,,,,産業用電動機組立工
,,,,産業用発電機組立工
,,,,ジェネレータ組立工
,,,,自転車用発電機組立工
,,,,自動車用内燃機関電装品組立工(発電機)
,,,,重電機器組立工(発電機・電動機製造)
,,,,水車発電機組立工
,,,,スターティングモーター製造工
,,,,タービン発電機組立工
,,,,電動機組立工
,,,,電動機組立・調整工
,,,,電動機調整工
,,,,電動機巻線工
,,,,バインド巻工(電動機製造)
,,,,発電機組立工
,,,,発電機組立・調整工
,,,,発電機巻線工
,,,,マイクロモーター組立工
,,,,巻型工(電動機製造)
,,,,巻線工(コイル:電気機械器具)
,,,,巻線工(固定子・回転子製造)
,,,,巻線工(発電機)
,,,,民生用電動機組立工
,,,,民生用発電機組立工
,,,,モーター組立工
,,,,モーター調節工
,,,,モーター巻線工
,,,配電盤・制御盤・開閉制御機器組立工,開閉制御機器組立工
,,,,カットアウトリレー組立工
,,,,キャノピースイッチ組立工
,,,,継電器組立工
,,,,コンタクトブレーカー組立工
,,,,サーモスタット組立工(ガス器具用)
,,,,遮断機組立工(電気部品)
,,,,スイッチ組立工
,,,,制御機器製造工
,,,,制御装置組立工
,,,,制御盤組立工
,,,,タンブラースイッチ組立工
,,,,ディストリビュータ(配電器)組立工
,,,,電気制御盤組立工
,,,,ナイフスイッチ製造工
,,,,配電器組立工
,,,,配電盤組立工
,,,,配電盤・制御板組立・調整工
,,,,バイメタル巻線工
,,,,ブレーカー組立工
,,,,ボルテージレギュレータ組立工
,,,,マグネットスイッチ組立工
,,,電気機械部品組立工,アース棒製作員
,,,,アーマチュア工
,,,,アイソレーター組立工
,,,,亜酸化銅整流器製造工
,,,,インバーター組立工
,,,,回転子組立工
,,,,キャパシタ製造工
,,,,コンセント組立工
,,,,コンデンサー組立工
,,,,サーモスタット組立工(電気器具用)
,,,,シリコン整流器製造工
,,,,水銀整流器組立工
,,,,整流器組立工
,,,,整流子組立工
,,,,セレン整流器製造工
,,,,蓄電器エッチング工
,,,,蓄電器化成工
,,,,蓄電器組立工
,,,,蓄電器仕上工
,,,,電気刷子製造工
,,,,電機部品仕上工
,,,,電力回路用コンデンサー組立工
,,,,発電機部品組立工
,,,他に分類されない電気機械組立工,FBT係(トランス組立)
,,,,回転変流器組立工(変流器・変成器組立)
,,,,キュービクル組立工(高圧受変電設備)
,,,,計器用変圧器(VT)組立工
,,,,固定子巻線組立工(変圧器)
,,,,コミュテーター(整流子)製造工(変流器・変成器組立)
,,,,コンバーター製造工(変換器)(変流器・変成器組立)
,,,,成層鉄心製造工(変圧器用)
,,,,鉄心組立工(変圧器)
,,,,鉄心積工(変圧器)
,,,,電機子組立工(変圧器)
,,,,トランス巻線工
,,,,変圧器組立工
,,,,変圧器仕上工
,,,,変圧器・変流器・変成器組立・調整工
,,,,変成器組立工
,,,,変流器組立工
,,,,変流器・変成器組立工
,,電気通信機械器具組立工,無線・有線通信機器組立工,音声放送装置組立工
,,,,カーナビゲーション組立工
,,,,携帯電話組立工
,,,,通信機組立工
,,,,電気通信機器組立工
,,,,電話機組立工
,,,,電話交換機組立工
,,,,トランシーバ組立工
,,,,ファクシミリ組立工
,,,,無線通信機器組立工
,,,,無線電話機組立工
,,,,有線通信機器組立工
,,,テレビ・ラジオ組立工,カーラジオ組立工
,,,,テレビ・画像端末機組立工
,,,,テレビ組立工
,,,,テレビジョン組立工
,,,,テレビ調整工(テレビ製造)
,,,,ラジオ組立工
,,,他に分類されない電気通信機械器具組立工,交通信号機組立工
,,,,レーダー組立工
,,電子応用機械器具組立工,電子計算機組立工,コンピュータ調整員(製造工程におけるもの)
,,,,電子計算機組立・調整工
,,,,パーソナルコンピュータ組立工
,,,,パソコン組立・調整工
,,,,汎用電子計算機組立工
,,,電子複写機組立工,コピー機組立工
,,,,電子複写機組立・調整工
,,,,複合複写機組立工
,,,他に分類されない電子応用機械器具組立工,医療用画像放射線機器組立工
,,,,医療用電子機器組立工
,,,,ATS(自動列車停止装置)製造工
,,,,ATM(現金自動預払機)製造工
,,,,X線応用装置組立工
,,,,X線装置組立工
,,,,火災感知器組立工
,,,,ガス遮断器組立工
,,,,家庭用ゲーム機組立工
,,,,感知器組立工
,,,,漁探機製造工
,,,,警音器製造工
,,,,高周波応用装置組立工
,,,,水中聴音装置組立工
,,,,超音波応用装置組立工
,,,,超音波画像診断装置組立工
,,,,テレビゲーム機組立工
,,,,電子応用がん具組立工
,,,,電子警報器組立工
,,,,電子顕微鏡組立工
,,,,電子式現金レジスター組立工
,,,,ハードディスクドライブ組立工
,,,,放射線応用装置組立工
,,,,レーザー応用加工機器組立工
,,民生用電子・電気機械器具組立工,民生用電子・電気機械器具組立工,エアクリーナ組立工
,,,,音響機器組立工
,,,,温水洗浄便座組立工
,,,,カーエアコン組立工
,,,,カーステレオ組立工
,,,,家庭用エアコン組立工
,,,,家庭用空調機器製造工
,,,,空気清浄機組立工(民生用)
,,,,空調機組立工(民生用)
,,,,コンプレッサー組立工(ルームエアコン製造業)
,,,,磁気録画再生機組立工
,,,,自動車ライト製造工
,,,,自動車ランプ組立工
,,,,照明器具組立工
,,,,照明器具製作工
,,,,ステレオ組立工
,,,,扇風機・換気扇組立工
,,,,DVDプレーヤ組立工
,,,,テープレコーダー組立工
,,,,テールライト組立工(自動車製造)
,,,,電気アイロン組立工
,,,,電気釜組立工
,,,,電気照明器具組立工
,,,,電気ストーブ組立工
,,,,電気洗濯機組立工
,,,,電気掃除機組立工
,,,,電気毛布組立工
,,,,電気冷蔵庫組立工
,,,,電子レンジ組立工
,,,,電子録画再生機器組立工
,,,,電卓組立工
,,,,電動機応用製品組立工
,,,,電熱乾燥装置組立工
,,,,電熱機器組立工
,,,,電熱器具組立工
,,,,電熱器組立工
,,,,電熱・照明器具組立工
,,,,バイブレーター組立工(電気機器製造)
,,,,ビデオ・音響機器調整工
,,,,ビデオ組立工
,,,,表示灯組立工
,,,,VTR組立工
,,,,VTR・テープレコーダー組立工
,,,,ヘアドライヤー組立工
,,,,民生用電気機械器具組立工
,,,,民生用電子機械器具組立工
,,,,メーター組付工(民生用電子・電気機械器具)
,,,,モーター機械組立工(民生用)
,,,,レギュレーター組立工(自動車電装部品製造)
,,半導体製品製造工,半導体チップ製造工,IC基板洗浄工
,,,,エッチング工(半導体製造)
,,,,拡散工(半導体素子製造)
,,,,集積回路印刷工
,,,,シリコンウエハ洗浄工
,,,,塗布工(感光剤:IC製造)
,,,,半導体エッジング工
,,,,半導体回路パターン焼付工
,,,,半導体拡散キーパー(半導体製造)
,,,,半導体電極形成工
,,,,半導体レジスト塗布工
,,,,ペレットエッチング工(半導体製品製造)
,,,,レジスト塗布工(集積回路製造)
,,,半導体組立工,エンキャプ工
,,,,回路配線工(IC・LSI製造)
,,,,集積回路樹脂封止工
,,,,シリコンウェハー切断工
,,,,セラミック半導体組立工
,,,,ダイオード封止工
,,,,ダイシング工
,,,,ダイボンド工
,,,,電子回路接続工(半導体製品製造)
,,,,トランジスタ封止工
,,,,トランジスタマウント組立工
,,,,ハーメチックシール工(半導体製造)
,,,,半導体エンキャップ工
,,,,半導体外装処理工
,,,,半導体集積回路配線工
,,,,半導体切断工
,,,,半導体ダイシング工
,,,,半導体封止工
,,,,半導体マウント工
,,,,ボンディング工(半導体製造)
,,,,ワイヤーボンディング工
,,,,ワイヤーボンド工
,,,他に分類されない半導体製品製造工,スクリーニング工(半導体製造)
,,,,半導体マーキング工
,,,,半導体レーザー印字工
,,電球・電子管組立工,電球・電子管組立工,アーク灯組立工
,,,,SB(シールドビーム)組立工
,,,,X線管組立工
,,,,蛍光器具組立工
,,,,蛍光灯組立工(蛍光管の組立)
,,,,蛍光灯部品組付工
,,,,継線工(電球製造)
,,,,光電管組立工
,,,,殺菌灯組立工
,,,,シールドビーム製造工
,,,,写真用せん光電球組立工
,,,,集魚灯用電球組立工
,,,,集光繊条電球組立工
,,,,ジュメット線製造工(電球製造)
,,,,ジュメット巻線工
,,,,ストロボ製造工
,,,,赤外線電球組立工
,,,,太陽灯組立工
,,,,電球アンカー工
,,,,電球機械運転工
,,,,電球組立工
,,,,電球ステム工
,,,,電球製造工
,,,,電球・電子管仕上工
,,,,電球・電子管自動組立操作員
,,,,電球・電子管製造工
,,,,電球・電子管排気・封止工
,,,,電球・電子管部品組立工
,,,,電球部品組立工
,,,,電子管組立工
,,,,電子管製造工
,,,,電子管部品組立工
,,,,ネオン管製造工
,,,,ネオン灯組立工
,,,,排気工(電球・電子管)
,,,,パイロットランプ製造工
,,,,白熱電球組立工
,,,,バラスト管組立工
,,,,ハロゲンランプ仕上工
,,,,ハロゲンランプ製造工
,,,,表示管組立工
,,,,フィラメント工
,,,,封止工(電球製造)
,,,,ブラウン管組立工
,,,,ベース工(電球製造)
,,,,放電管組立工
,,,,マグネトロン組立工
,,,,マスク合せ工(ブラウン管)
,,乾電池・蓄電池製造工,乾電池・蓄電池製造工,アノード工(電池製造)
,,,,アルカリ乾電池製造工
,,,,化成工(蓄電池製造)
,,,,乾電池組立工
,,,,乾電池原料加工工
,,,,乾電池原料混合工
,,,,乾電池製造工
,,,,コロイド製造工(蓄電池)
,,,,仕上工(乾電池製造)
,,,,湿(一次)乾電池製造工
,,,,ストレージバッテリー製造工
,,,,積層乾電池製造工
,,,,蓄電池組立工
,,,,蓄電池充てん工
,,,,蓄電池充電工
,,,,蓄電池製造工
,,,,蓄電池ペーストこね工
,,,,蓄電池未化成極板仕上工
,,,,電極化成工(蓄電池製造)
,,,,電極焼成工(蓄電池製造)
,,,,鉛蓄電池製造工
,,,,バッテリー製造工
,,,,ピッチ充てん工(乾電池製造)
,,,,ペースト充てん工(乾電池製造)
,,,,ペースト充てん工(鉛蓄電池製造)
,,,,ペースト捏和工(乾電池製造)
,,,,巻取員(電解蓄電器製造)
,,被覆電線製造工,被覆電線製造工,アウターケーブル工
,,,,圧出工(ゴム被覆線製造)
,,,,編組工(被覆電線製造)
,,,,アルペスがい装工
,,,,アルミ線撚線工(被覆電線製造)
,,,,イグナイター工(ゴム被覆電線製造)
,,,,塩化ビニール押出工(電線製造)
,,,,押出工(ビニール被覆電線製造)
,,,,押出被覆線製造工
,,,,がい装機運転工(通信・電力ケーブル製造)
,,,,がい(鎧)装工
,,,,カバーリング工(ゴム被覆線製造)
,,,,紙被覆工(ゴム被覆線製造)
,,,,紙巻線製造工
,,,,キャブタイヤケーブル製造工
,,,,ケーブルがい装工
,,,,ケーブル乾燥工
,,,,鋼線細撚工(電力ケーブル製造)
,,,,鋼帯がい装工
,,,,コーティング工(電線製造業)
,,,,ゴム編組線製造工
,,,,ゴム絶縁工(電線製造)
,,,,ゴム線製造工
,,,,ゴム被覆線製造工
,,,,ジーゲル工(被覆電線製造)
,,,,シース工(被覆電線製造)
,,,,集線撚線工(電力ケーブル製造)
,,,,ジュート巻工(電線製造)
,,,,芯線撚合せ工
,,,,絶縁電線テープ巻工
,,,,線巻工(電線製造)
,,,,チュービング工(電線ケーブル製造)
,,,,通信ケーブル紙巻工
,,,,通信ケーブル乾燥工
,,,,通信ケーブル製造工
,,,,テーピング工(ゴム被覆線製造)
,,,,鉄線がい装工
,,,,電線糸巻工
,,,,電線がい装工
,,,,電線加工工(電線製造)
,,,,電線紙巻工
,,,,電線皮むき工
,,,,電線絶縁工
,,,,電線切断工(電線製造)
,,,,電線布巻工
,,,,電線被鉛工
,,,,電線被装工
,,,,電線ビニール被覆工
,,,,電線編組工
,,,,電力ケーブル紙巻工
,,,,電力ケーブル製造工
,,,,電力ケーブル撚合せ工
,,,,電力線細撚工
,,,,銅線細撚工(電力ケーブル製造)
,,,,撚線工
,,,,剥鉛工(ゴム被覆線製造)
,,,,PVC(ポリ塩化ビニール)シースケーブル製造工
,,,,被鉛機運転工(通信・電力ケーブル製造)
,,,,被鉛工(通信・電力ケーブル製造)
,,,,ビニール線押出工(電線製造)
,,,,ビニール線製造工
,,,,ビニール・ポリエチレン線製造工
,,,,被覆工
,,,,被覆電線撚工
,,,,平型コード製造工(被覆電線製造)
,,,,ポリエチレン線製造工
,,,,撚合わせ工
,,,,ラッピング工(ゴム被覆線製造)
,,,,リードワイヤー製造工
,,束線工,束線工,コイル束線工
,,,,束線工(通信機製造)
,,,,束線工(ワイヤー・ハーネス工)
,,,,通信機束線工
,,,,電気通信機束線工
,,,,電子応用機器束線工
,,,,ハーネス製造工(電線製造業)
,,,,輸送用機器束線工
,,,,ワイヤーハーネス組立工
,,,,ワイヤー・ハーネス工
,,電子機器部品組立工,電子回路用コンデンサー組立工,雲母蓄電器製造工
,,,,MPコンデンサー製造工
,,,,可変コンデンサー製造工
,,,,空気コンデンサー(バリコン)製造工
,,,,固定コンデンサー製造工
,,,,コンデンサー組立工(電子機器用)
,,,,コンデンサー巻工(電子機器用)
,,,,蓄電器(コンデンサー)組立工(電子機器用)
,,,,電子機器用コンデンサー製造工
,,,,塗布工(銀:磁器(セラミック)コンデンサー製造)
,,,,バリコン組立工
,,,,フィルムコンデンサー組立工
,,,,フィルム巻取工(コンデンサー製造)
,,,プリント基板組立工,プリント基板製造工
,,,,プリント配線工
,,,,プリント配線板印刷工
,,,,プリント配線板回路組立工
,,,,プリント配線板組立工
,,,,プリント配線板製造工
,,,液晶表示部品組立工,液晶パネル製造工
,,,,液晶板製造工
,,,,プラズマ表示部品組立工
,,,他に分類されない電子機器部品組立工,圧電素子製造工(電子機器部品製造)
,,,,安全灯充電工
,,,,アンプ製造工
,,,,永久磁石製造工
,,,,ACGテスター巻線工
,,,,X線測角工(水晶振動子製造)
,,,,音響部品組立工
,,,,カーボン皮膜抵抗器製造工
,,,,拡声器組立工
,,,,可変抵抗器製造工
,,,,キーボード組立工(電気器具製造)
,,,,素地巻工(電気通信機製造)
,,,,組立結線工(電気機器製造)
,,,,クリスタル製造工(水晶発振子製造)
,,,,クロスバースイッチ製造工
,,,,固定抵抗器製造工
,,,,コネクター組立工
,,,,サーチコイル製造工
,,,,磁気振動子製造工
,,,,磁石組立工
,,,,シンクロ組立工
,,,,振動子組立工
,,,,水晶共振子組立工
,,,,水晶振動子組立工
,,,,水晶振動子電極付工
,,,,水晶切削工(水晶振動子用)
,,,,水晶発振子組立工
,,,,水晶発振子仕上工
,,,,水晶発振子製造工
,,,,水晶発振子部品加工工
,,,,水晶ろ波器製造工
,,,,スピーカー組立工
,,,,増幅器製造工(心電計製造)
,,,,ソケット組立工
,,,,ターミナル製造工
,,,,端子製造工
,,,,チューナ組立工
,,,,通信機部品加工工
,,,,通信機部品組立工
,,,,通信機用トランス部品組立工
,,,,通信機用変圧器組立工
,,,,テレビアンテナ製造工
,,,,電子応用装置部品組立工
,,,,電子機器用コイル組立工
,,,,電子機器用スイッチ組立工
,,,,電子機器用抵抗器組立工
,,,,電子機器用抵抗器製造工
,,,,電子機器用トランス組立工
,,,,電子機構部品組立工
,,,,電磁ブレーキ組立工
,,,,電磁弁組立工
,,,,トーンスイッチ製造工
,,,,特殊電子部品製造工
,,,,トリマー工(電子機器用)
,,,,ノイズ部品製造工
,,,,配線器具組立工
,,,,バラストコイル組立工
,,,,バリコンスイッチ製造工
,,,,避雷器(アレスタ)製造工
,,,,フェライトコア製造工
,,,,フェライト製品製造工
,,,,プラグ組立工
,,,,プラグ製造工
,,,,ブランク型抜工(水晶振動子製造)
,,,,マイクロホン組立工
,,,,巻線磁石組立工
,,,,マグネット製造工
,,,,ラジオ用コイル巻工
,,,,リレー組立工
,,,,リレー組立調整工(継電器)
,,,,ループアンテナ製造工
,,,,ワイヤースプリングリレー組立工
,,自動車組立工,自動車組立・ぎ装工,足廻り組付け工
,,,,運転台組立工(自動車製造)
,,,,エンジン取付工(自動車)
,,,,オイルフィルター組付工
,,,,オートバイ組立工
,,,,音響器取付工(自動車製造)
,,,,カーエアコン取付工(自動車製造)
,,,,加速器取付工(自動車)
,,,,緩衝器取付工(自動車)
,,,,気化装置取付工(自動車製造)
,,,,ぎ装部品組付工(自動車)
,,,,キャブレター組付工(自動車)
,,,,駆動装置取付工(自動車製造)
,,,,クラッチ取付工(自動車製造)
,,,,クランクシャフト取付工(自動車)
,,,,計器組付工(自動車製造)
,,,,サスペンション取付工(自動車)
,,,,差動装置取付工
,,,,産業用運搬車両組立工
,,,,自在接(継)手取付工
,,,,自動車ガラスはめ込工
,,,,自動車ぎ(艤)装組立工
,,,,自動車ぎ装工
,,,,自動車車体組立工
,,,,自動車車台組立工
,,,,自動車車体組付工
,,,,自動車配管工
,,,,自動車配線工
,,,,自動車パイプ取付工
,,,,自動車部品組付工
,,,,始動装置取付工(自動車製造)
,,,,自動二輪車組立工
,,,,シャシー(車台)組立工(自動車製造)
,,,,車軸取付工(自動車製造)
,,,,車体組立工(自動車製造)
,,,,車両組立工(自動車製造)
,,,,車輪取付工(自動車製造)
,,,,車枠取付工(自動車製造)
,,,,終減速装置取付工(自動車製造)
,,,,充電装置取付工(自動車製造)
,,,,消音装置取付工(自動車製造)
,,,,照明装置取付工(自動車製造)
,,,,推進軸取付工(自動車)
,,,,スプリング取付工(自動車製造)
,,,,制動機取付工(自動車)
,,,,制動ペダル取付工(自動車製造業)
,,,,操縦装置取付工(自動車製造)
,,,,速度計取付工(自動車)
,,,,タイヤ取付工(自動車製造)
,,,,ダンプトラック組立工
,,,,蓄電池運搬車組立工
,,,,注油装置取付工(自動車製造)
,,,,点火装置取付工(自動車製造)
,,,,電気自動車組立工
,,,,電装工(自動車製造)
,,,,電装品取付工(自動車製造)
,,,,動力装置取付工
,,,,特殊自動車組立工
,,,,トレーラートラック組立工
,,,,荷台組立工(自動車製造)
,,,,二輪自動車組立工
,,,,燃料供給装置取付工(自動車製造)
,,,,バイク配組工
,,,,バイク配線工
,,,,バックブザー組付工(自動車製造)
,,,,ハンドル取付工
,,,,バンパー取付工
,,,,フェンダー組付工(自動車製造)
,,,,フォークリフト組立工
,,,,踏板取付工(自動車製造)
,,,,ブレーキ取付工(自動車製造)
,,,,ブレーキペダル取付工
,,,,フレーム組立工(自動車用車枠)
,,,,プロペラシャフト(推進軸)取付工
,,,,変速機取付工
,,,,ボディー組立工(自動車製造)
,,,,ボンネット取付工
,,,,マフラー(消音装置)取付工
,,,,ミッション組付工
,,,,メーター組付工(自動車)
,,,,モール取付工
,,,,ラジエータ取付工(自動車製造)
,,,,冷却装置取付工(自動車製造)
,,,自動車部品組立工,オイルフィルター組立工(自動車)
,,,,オートバイミッション製造工
,,,,ギヤ組立工(自動車製造)
,,,,キャブレター組立工(自動車)
,,,,クラッチ組立工(自動車)
,,,,サイドミラー組立工
,,,,サスペンション組立工
,,,,自動車車輪組立工
,,,,自動車マフラー製造工
,,,,スーパーチャージャ組立工
,,,,スタビライザー製造工(自動車部品)
,,,,ステアリングリンケージ組立工
,,,,ストラット組立工(サスペンション)
,,,,ディスク組立工(自動車部品)
,,,,電子制御燃料噴射装置製造工
,,,,トランスミッション組立工(自動車用)
,,,,トルクコンバーター組立工
