大分類,中分類,小分類,細分類,該当例
,,,,薬学研究者
,,,,薬品研究者
,,,,薬物化学研究者
,,,,薬理研究者
,,,人文科学研究者,絵画研究者
,,,,教育学研究者
,,,,言語学研究者
,,,,国語研究者
,,,,史学研究者
,,,,宗教研究者
,,,,心理学研究者
,,,,人類学研究者
,,,,哲学研究者
,,,,美術研究者
,,,,文学研究者
,,,,文化財研究者
,,,社会科学研究者,エコノミスト(金融機関研究所)
,,,,経営学研究者
,,,,経済学研究者
,,,,社会学研究者
,,,,商学研究者
,,,,人口学研究者
,,,,政治学研究者
,,,,農業経済学研究者
,,,,法学研究者
,,,他に分類されない研究者,栄養学研究者
,,,,海洋学研究者
,,,,科学捜査研究者(都道府県警)
,,,,花卉(かき)研究者
,,,,家政学研究者
,,,,航海学研究者
,,,,工芸研究者
,,,,色彩科学研究者
,,,,食品栄養研究者
,,,,食品化学研究者
,,,,メカトロニクス研究者
,農林水産技術者,農林水産技術者,農業技術者,営農指導員
,,,,園芸技術指導員
,,,,果樹栽培指導員
,,,,穀物検査員
,,,,椎茸栽培技術指導員
,,,,種苗育成技術指導員
,,,,種苗生産指導員
,,,,たばこ栽培技術指導員
,,,,土壌改良技術指導員
,,,,農業技術指導員
,,,,農業経営指導員
,,,,農産物検査員
,,,,病虫害防除技術者(農業)
,,,,普及指導員(農業)
,,,畜産技術者,家畜人工授精師(獣医師でないもの)
,,,,飼育技術指導員
,,,,飼料技術者
,,,,種付技術指導員
,,,,畜産技術指導員
,,,,畜産検査員
,,,,畜産コンサルタント
,,,,肥育技術指導員
,,,,ひな鑑別員
,,,,普及指導員(畜産)
,,,,孵(ふ)卵技術者
,,,,ふん尿処理技術者
,,,,緬(綿)羊飼育指導員
,,,,養鶏技術指導員
,,,,養蜂技術指導員
,,,,酪農技術指導員
,,,林業技術者,営林技術者
,,,,山林用種苗技術者
,,,,樹木医
,,,,樹木診断士
,,,,森林インストラクター
,,,,森林病害虫防除技術者
,,,,造林技術者
,,,,特用林産技術者
,,,,普及指導員(林業)
,,,,輸入木材検疫係
,,,,林業検査技術者
,,,,林業指導員
,,,,林産技術者
,,,,林産物検査員
,,,水産技術者,漁場調査員
,,,,魚類養殖技術者
,,,,漁労技術者
,,,,真珠養殖技術者
,,,,水産資源保護指導員
,,,,水産物検査技術者
,,,,海苔養殖技術者
,,,,孵化場技術者(水産業)
,,,,普及指導員(水産業)
,,,,養殖技術者
,開発技術者,食品開発技術者,食品開発技術者,醸造技術者(開発)
,,,,醤油開発技術者
,,,,食品缶詰開発技術者
,,,,食品香料開発技術者
,,,,植物油開発技術者
,,,,水産食品開発技術者
,,,,水産物加工技術者(開発)
,,,,製菓技術者(開発)
,,,,清酒開発技術者
,,,,製茶技術者(開発)
,,,,精糖技術者(開発)
,,,,清涼飲料開発技術者
,,,,乳製品開発技術者
,,,,マーガリン開発技術者
,,,,味そ開発技術者
,,,,酪農製品開発技術者
,,電気・電子・電気通信開発技術者(通信ネットワークを除く),電気・電子・電気通信設計技術者,アナログ回路設計技術者
,,,,医療機器設計技術者(電気計測器、電子応用装置)
,,,,液晶ディスプレイ(LCD)設計技術者
,,,,液晶パネル設計技術者
,,,,液晶モジュール部品設計士
,,,,X線装置設計技術者
,,,,LSI設計技術者
,,,,オーディオビジュアル設備設計員
,,,,音響機器設計技術者
,,,,カーステレオ機構設計技術者
,,,,外線設計技術者
,,,,回路設計技術者
,,,,基盤論理回路設計技術者
,,,,給湯器設計技術者(電気式)
,,,,筐体設計技術者(電気・電子機器)
,,,,計器設計技術者(電気式)
,,,,携帯電話基地局設計技術者
